"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT5G16010",1.65434241900766e-85,1.32229249307029,0.631,0.095,2.03699182052413e-81,"0","AT5G16010"
"AT2G05380",2.3352818709718e-78,1.20057601268444,0.481,0.037,2.87543256772758e-74,"0","AT2G05380"
"AT2G40000",3.79906326742798e-69,1.29847184102481,0.857,0.416,4.67778660118407e-65,"0","AT2G40000"
"AT5G55180",6.60218289829701e-62,1.08327714086062,0.604,0.139,8.1292678026731e-58,"0","AT5G55180"
"AT2G38870",2.0418495408554e-59,1.24042883348401,0.727,0.243,2.51412933965525e-55,"0","AT2G38870"
"AT3G28210",9.00157017007921e-59,0.986037480208427,0.515,0.096,1.10836333504185e-54,"0","AT3G28210"
"AT1G05340",2.12060520644162e-53,0.866739538294567,0.584,0.15,2.61110119069157e-49,"0","AT1G05340"
"AT1G10370",3.79186992180244e-51,1.07194539454636,0.659,0.238,4.66892943471534e-47,"0","AT1G10370"
"AT2G38290",1.54950408729432e-49,0.481501830090481,0.341,0.032,1.90790438268549e-45,"0","AT2G38290"
"AT1G01120",1.22215032812183e-45,0.688759232812462,0.495,0.113,1.50483369901641e-41,"0","AT1G01120"
"AT4G36040",1.14587490964525e-42,0.932177963326932,0.683,0.298,1.41091577624619e-38,"0","AT4G36040"
"AT4G39670",1.89066935831102e-42,0.504408648945923,0.287,0.025,2.32798118088836e-38,"0","AT4G39670"
"AT1G03220",2.73416876204125e-41,0.952839947485826,0.642,0.257,3.36658199670139e-37,"0","AT1G03220"
"AT1G25400",1.0014180709058e-37,0.545574764518439,0.413,0.091,1.23304607070631e-33,"0","AT1G25400"
"AT3G15500",1.27367938827481e-37,0.382813853279913,0.256,0.022,1.56828143078278e-33,"0","AT3G15500"
"AT5G07440",6.21455821495856e-37,0.841217063336692,0.505,0.146,7.65198553007847e-33,"0","AT5G07440"
"AT2G36950",5.2866204575883e-36,0.531499642341118,0.324,0.053,6.50941576942847e-32,"0","AT2G36950"
"AT1G19020",3.00779113819643e-35,0.451453304190763,0.321,0.052,3.70349322846127e-31,"0","AT1G19020"
"AT5G64750",2.53433363040111e-33,0.449091883396036,0.379,0.085,3.12052499911289e-29,"0","AT5G64750"
"AT3G18950",3.11596542299347e-33,0.383065581266283,0.263,0.032,3.83668822533186e-29,"0","AT3G18950"
"AT2G32150",5.66962699888595e-33,0.580049373767164,0.464,0.141,6.98101172372828e-29,"0","AT2G32150"
"AT1G66580",5.74826849604433e-32,0.706628565417838,0.942,0.697,7.07784299917939e-28,"0","AT1G66580"
"AT2G05520",9.56965427091995e-32,0.757719678077096,0.526,0.186,1.17831153037837e-27,"0","AT2G05520"
"AT5G03380",7.17402655960039e-31,0.745035379449082,0.724,0.382,8.83337890283597e-27,"0","AT5G03380"
"AT2G16900",1.28563708437318e-30,0.509292896137986,0.392,0.105,1.58300494198869e-26,"0","AT2G16900"
"AT5G11670",3.37555235805292e-30,0.580470537879574,0.468,0.158,4.15631761847056e-26,"0","AT5G11670"
"AT5G20230",1.23669772746951e-29,0.493173908367521,0.386,0.1,1.52274591183321e-25,"0","AT5G20230"
"AT1G80440",3.34772188662236e-28,0.567113100003179,0.392,0.115,4.12204995899811e-24,"0","AT1G80440"
"AT2G36220",2.22701961450246e-27,0.363369461326593,0.287,0.057,2.74212925133688e-23,"0","AT2G36220"
"AT1G76180",4.51899988234295e-27,0.542427529187046,0.642,0.296,5.56424455512887e-23,"0","AT1G76180"
"AT2G29450",1.74494573925624e-26,0.70701062473327,0.922,0.719,2.14855168874621e-22,"0","AT2G29450"
"AT4G17500",1.804330919248e-26,0.551622472125272,0.464,0.175,2.22167266087007e-22,"0","AT4G17500"
"AT2G45170",2.16565563914142e-26,0.423169702376503,0.396,0.119,2.66657178847483e-22,"0","AT2G45170"
"AT2G39400",4.13518555573063e-26,0.469834138369402,0.365,0.101,5.09165397477112e-22,"0","AT2G39400"
"AT3G30775",1.90862929915307e-25,0.726111407768226,0.625,0.338,2.35009525604718e-21,"0","AT3G30775"
"AT4G36010",2.70009383474704e-25,0.557894044165059,0.42,0.146,3.32462553872403e-21,"0","AT4G36010"
"AT2G32240",1.54333698371941e-24,0.358354558046696,0.304,0.074,1.9003108280537e-20,"0","AT2G32240"
